Timestamp,No. Produksi,No. Seri,Jenis Produk
2024-12-02 16:17:25,4256908,YRS-24B (Baroque),Recorders
2024-12-02 16:17:30,4256901,YTR-8445,C Trumpets
2024-12-02 16:17:32,4256903,YTR-8445G,C Trumpets
2024-12-02 16:17:35,4256902,YTR-8445GS,C Trumpets
2024-12-02 16:17:38,4256900,YTR-8445S,C Trumpets
2024-12-02 16:18:02,4356761,SLG200NW,Silent Guitar
2024-12-02 16:18:06,4356755,SLG200S,Silent Guitar
2024-12-02 16:18:09,55479856,YOB-831,Oboes
2024-12-02 16:18:12,55479858,YOB-832,Oboes
2024-12-02 16:18:16,4256907,YRS-23 (German),Recorders
2024-12-02 16:18:31,43479856,PAC1611MS,Gitar Elektrik
2024-12-02 16:18:34,43479553,PACIFICA112J,Gitar Elektrik
2024-12-02 16:18:37,4256904,PSR-EW425,Portable Keyboard
2024-12-02 16:18:41,4356945,RDP2F5,Drum Akustik
2024-12-02 16:18:47,4356759,SLG200N,Silent Guitar
2024-12-02 16:18:58,4364761,BB234,Bass Elektrik
2024-12-02 16:19:02,4364765,BB235,Bass Elektrik
2024-12-02 16:19:05,4368764,BB434,Bass Elektrik
2024-12-02 16:19:08,4368774,BB434M,Bass Elektrik
2024-12-02 16:19:10,4361734,BB435,Bass Elektrik
2024-12-02 16:19:20,4361934,BB734A,Bass Elektrik
2024-12-02 16:19:22,4361944,BB735A,Bass Elektrik
2024-12-02 16:19:26,4356778,LNS1455,Snare Drum
2024-12-02 16:19:28,4256906,NCX5,gitar akustik-elektrik
2024-12-02 16:19:32,4256905,NTX5,Gitar nilon akustik-elektrik
2024-12-02 16:19:44,4256909,P-32D,Pianika
2024-12-02 16:19:47,43479557,PAC112JL,Gitar Elektrik
2024-12-02 16:19:51,4347944,PAC112V,Gitar Elektrik
2024-12-02 16:19:54,43479450,PAC112VM,Gitar Elektrik
2024-12-02 16:19:57,43479453,PAC112VMX,Gitar Elektrik
